pop	N	Fitted_singletons	Fitted_doubletons	Fitted_MAC3_5	Fitted_MAC6_10	Fitted_MAC11_20	Fitted_MAC21_MAF005	Fitted_MAF005_MAF01	block
AFR	8128	622.214130523915	158.096362088924	165.087820887	92.123305583251	69.4245117656604	91.161926757264	28.6008807501521	65
EAS	9197	634.583699974249	150.715499452049	142.128392966112	69.1797325029213	45.7503627954736	51.8858287976055	11.558916255632	65
NFE	56885	2004.97224343944	631.059680217373	609.313297516234	272.149201001327	156.372935149538	173.464445305621	3.81585329014462	65
SAS	15308	960.729581736886	233.950317574852	224.128690840197	110.928261180461	74.3951670031155	101.482625584985	14.1859423398312	65
AFR	8128	1356.25825646	312.377745048497	285.637037819965	133.730489930451	85.3158464120835	87.453337992009	20.5720038532827	66
EAS	9197	1220.81885460309	294.899773935642	269.894766278404	124.399125842731	77.6110595468624	80.1290208434668	15.8620171796542	66
NFE	56885	4146.47235166912	1236.67762324212	1149.27436353319	492.797539590427	273.789950083511	285.80817265192	5.54043296467458	66
SAS	15308	2078.44874779418	503.047388372094	448.879532950563	198.163556161531	118.154069938603	129.823921365682	13.3687699402615	66
AFR	8128	860.723196627985	240.646746209765	242.230059813536	123.502553317942	83.8605686662919	93.0190583194273	23.8680006885412	67
EAS	9197	739.679378519256	209.595548390755	204.978865843125	98.975239050044	63.3023800807397	66.8953156053609	13.521846423765	67
NFE	56885	2653.08258176184	760.380151118516	727.970667464325	336.835287323008	205.32235688161	266.046999747452	8.2924550836833	67
SAS	15308	1363.58717879158	338.458449987273	320.349870318418	154.459751575066	100.6007593861	129.667821706909	16.7534598064111	67
AFR	8128	718.43738890372	174.488224028152	168.40794241079	84.4090119090494	57.3611252829272	64.4679122656697	16.9040736216917	68
EAS	9197	732.341841461783	167.716471283742	154.957891633891	73.9000581767716	48.0743575758987	53.2722351948358	11.5501626288742	68
NFE	56885	2610.97518546869	682.366499499538	613.157909327539	264.947930776105	152.488642748452	176.839031101628	4.43538089731386	68
SAS	15308	1147.99716465249	287.804135571874	265.905566032717	122.7299027432	76.2772754930253	90.0423473302894	10.2688933240552	68
AFR	8128	225.29977004529	62.2702484275486	60.6076718154953	29.3431106281146	18.8974156732684	19.3343375211721	4.49967018817832	69
EAS	9197	243.129627378472	54.9611580785308	51.1566887960013	24.7853578525678	16.4082847174854	18.7114017973461	4.20489663383465	69
NFE	56885	735.247672860807	205.849480993435	196.751812546888	91.7913617020917	56.6933050263124	76.0765473259037	2.55233549070242	69
SAS	15308	349.003811164121	95.7959933778996	94.5315702618981	46.9773565929602	31.1340917740498	40.9708962790686	5.41329931675551	69
AFR	8128	709.788798976716	175.789348248857	164.850454742527	78.3547523363916	50.2974718789653	51.7355286209335	12.183938153355	7
EAS	9197	724.92218497318	171.433914929616	157.988805293665	74.2219984137122	47.3608615149612	50.7685619049235	10.5474912871396	7
NFE	56885	2320.9507834695	708.176126379807	655.370949351343	274.907465060435	148.1399331708	143.959697624397	2.34500145494687	7
SAS	15308	1089.05836465759	298.969063595441	275.761265307288	121.926844272421	71.3024391225647	74.3339770739019	7.00188769392865	7
AFR	8128	259.833551600528	65.3981974675943	64.1694316900311	32.623207699309	22.3975090754737	25.5001529152763	6.78058468692144	70
EAS	9197	243.435241058363	54.3907957846868	52.2528733314948	26.6697232214391	18.6245206354113	23.1346494278696	5.76778404073608	70
NFE	56885	906.018474580636	273.514578423952	259.74204366789	115.211388599416	66.3169782708701	74.6239941739436	1.70951961026294	70
SAS	15308	470.068946821728	111.831438697385	104.651748046402	50.2881913708902	32.8165115286327	42.6430642927169	5.58527962555872	70
AFR	8128	1263.78083160331	296.06471353294	281.265450671862	139.128171907481	93.6788518263908	104.092213176497	26.9623536110236	71
EAS	9197	1275.68464158758	277.337267213931	248.486449417345	114.799808575261	72.7530265908595	77.6765013765281	16.1141215380552	71
NFE	56885	4268.76165481283	1218.92641565009	1087.02650612455	442.007859209273	233.615375904199	221.416691943876	3.44869804730087	71
SAS	15308	2061.35223982508	482.054075279438	442.16116909849	206.960773902917	131.750209512692	163.826449985386	20.2026249290786	71
AFR	8128	215.345394718401	64.6731119395446	67.198235661648	35.0790401719174	24.155729071346	27.1898836847028	7.07536945832182	72
EAS	9197	249.605939675588	52.9404495845363	47.3896824945419	22.0329120884709	14.0916580345216	15.2914279668745	3.24003120809691	72
