block	pop	downsample	exp_all	obs_all	N_bp	per_kb
31	sas	20	31.1104627879501	17	57595	0.29516451080823
31	sas	50	75.869058762656	46	57595	0.798680441010504
31	sas	100	141.940181393226	92.0338680926916	57595	1.59794892078638
31	sas	200	257.781665465419	159.050802139037	57595	2.76153836511914
31	sas	500	522.986519369875	344.186274509804	57595	5.9759749025055
31	sas	1000	863.692909793226	553.304812834225	57595	9.60682025929725
31	sas	2000	1389.38460481283	941.711229946524	57595	16.3505726182225
31	sas	3070	1846.06035840285	1265.9991087344	57595	21.9810592713673
31	sas	5000	2518.50976026916	1771.25311942959	57595	30.7535917949404
31	sas	5040	2531.31872696257	1779.25311942959	57595	30.8924927412031
31	sas	8128	3395.00088836898	2446.52406417112	57595	42.4780634459783
31	sas	9197	3654.47211326025	2639.6256684492	57595	45.8308128908621
31	sas	10000	3840.30296911052	2795.74420677362	57595	48.5414394786634
31	sas	10824	4024.2882202139	2954.84581105169	57595	51.3038599019306
31	sas	15000	4855.84786663993	3580.35383244207	57595	62.1643169101844
31	sas	15308	4912.46474982175	3631.38770053476	57595	63.0503984813744
32	sas	10	7.0132574	5	26001	0.192300296142456
32	sas	20	14.0517086	9	26001	0.346140533056421
32	sas	50	34.235269	29	26001	1.11534171762625
32	sas	100	64.114234	48	26001	1.84608284296758
32	sas	200	116.456907	94	26001	3.61524556747817
